motif	num_nodes	erdos_p	num_nodes	mean
9	1000	1	986	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	4
13	1000	1	0	498
1	1000	1	1812	2309
2	1000	1	0	0
3	1000	1	0	4
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
9	1000	1	987	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	4
13	1000	1	0	499
1	1000	1	1959	2456
2	1000	1	0	0
3	1000	1	0	4
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
9	1000	1	989	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	4
13	1000	1	0	499
1	1000	1	2119	2615
2	1000	1	0	0
3	1000	1	0	5
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
9	1000	1	984	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	5
13	1000	1	0	498
1	1000	1	5283	5776
2	1000	1	0	0
